booking_id,booking_type,item_id,traveler_name,booking_date,status,total_cost
BK-DEMO001,flight,FL0112,Demo Traveler F,2026-04-12,cancelled,1616.26
BK-DEMO002,hotel,HT0096,Demo Traveler D,2026-04-07,completed,1596.99
BK-DEMO003,hotel,HT0080,Demo Traveler F,2026-03-27,confirmed,2755.38
BK-DEMO004,activity,AC0032,Demo Traveler B,2026-06-27,confirmed,146.04
BK-DEMO005,activity,AC0152,Demo Traveler E,2026-06-07,cancelled,69.24
BK-DEMO006,hotel,HT0105,Demo Traveler B,2026-07-22,confirmed,322.64
BK-DEMO007,hotel,HT0014,Sample Guest 3,2026-05-22,confirmed,307.54
BK-DEMO008,hotel,HT0134,Demo Traveler F,2026-04-17,completed,531.09
BK-DEMO009,hotel,HT0176,Demo Traveler E,2026-06-02,confirmed,702.15
BK-DEMO010,hotel,HT0074,Sample Guest 4,2026-06-21,completed,255.66
BK-DEMO011,hotel,HT0092,Sample Guest 1,2026-05-02,completed,1317.42
BK-DEMO012,hotel,HT0179,Demo Traveler E,2026-04-05,completed,199.0
BK-DEMO013,activity,AC0038,Sample Guest 1,2026-05-12,confirmed,84.36
BK-DEMO014,activity,AC0173,Demo Traveler A,2026-04-26,confirmed,35.12
BK-DEMO015,flight,FL0069,Demo Traveler A,2026-03-29,confirmed,5956.56
BK-DEMO016,flight,FL0193,Sample Guest 3,2026-07-20,confirmed,1035.17
BK-DEMO017,hotel,HT0153,Demo Traveler A,2026-04-25,confirmed,204.0
BK-DEMO018,activity,AC0023,Sample Guest 4,2026-05-01,cancelled,126.9
BK-DEMO019,hotel,HT0024,Demo Traveler C,2026-07-14,confirmed,3080.04
BK-DEMO020,flight,FL0155,Demo Traveler F,2026-04-04,cancelled,233.41
BK-DEMO021,hotel,HT0149,Demo Traveler H,2026-05-06,confirmed,2006.55
BK-DEMO022,hotel,HT0061,Demo Traveler G,2026-07-10,confirmed,926.87
BK-DEMO023,activity,AC0020,Sample Guest 3,2026-04-28,completed,145.42
BK-DEMO024,activity,AC0144,Demo Traveler E,2026-07-12,confirmed,124.04
BK-DEMO025,flight,FL0069,Demo Traveler D,2026-04-30,completed,3971.04
BK-DEMO026,flight,FL0118,Demo Traveler B,2026-05-18,confirmed,2095.77
BK-DEMO027,hotel,HT0045,Demo Traveler B,2026-06-03,confirmed,638.72
BK-DEMO028,activity,AC0106,Demo Traveler B,2026-04-08,confirmed,188.82
BK-DEMO029,activity,AC0064,Sample Guest 1,2026-04-10,confirmed,166.24
BK-DEMO030,hotel,HT0060,Sample Guest 1,2026-05-25,confirmed,427.04
BK-DEMO031,activity,AC0099,Demo Traveler G,2026-05-04,completed,75.32
BK-DEMO032,flight,FL0118,Demo Traveler G,2026-04-08,cancelled,2095.77
BK-DEMO033,flight,FL0032,Sample Guest 3,2026-04-30,confirmed,550.31
BK-DEMO034,hotel,HT0182,Demo Traveler E,2026-06-19,completed,117.62
BK-DEMO035,flight,FL0151,Sample Guest 4,2026-06-04,completed,612.98
BK-DEMO036,activity,AC0023,Demo Traveler F,2026-07-06,confirmed,84.6
BK-DEMO037,activity,AC0147,Demo Traveler E,2026-06-11,confirmed,139.56
BK-DEMO038,hotel,HT0064,Demo Traveler A,2026-07-05,confirmed,5339.52
BK-DEMO039,hotel,HT0142,Demo Traveler F,2026-05-04,confirmed,1155.24
BK-DEMO040,hotel,HT0112,Demo Traveler B,2026-06-12,completed,1092.88
BK-DEMO041,flight,FL0086,Sample Guest 3,2026-03-31,confirmed,843.26
BK-DEMO042,flight,FL0083,Demo Traveler C,2026-05-29,confirmed,869.07
BK-DEMO043,hotel,HT0026,Demo Traveler C,2026-06-12,completed,505.61
BK-DEMO044,flight,FL0042,Sample Guest 4,2026-06-17,confirmed,973.74
BK-DEMO045,activity,AC0084,Demo Traveler G,2026-04-25,confirmed,146.2
BK-DEMO046,flight,FL0103,Demo Traveler E,2026-06-10,confirmed,737.14
BK-DEMO047,flight,FL0046,Sample Guest 2,2026-06-04,confirmed,1054.74
BK-DEMO048,flight,FL0114,Demo Traveler D,2026-07-16,confirmed,515.04
BK-DEMO049,hotel,HT0124,Demo Traveler G,2026-07-13,completed,349.23
BK-DEMO050,activity,AC0006,Demo Traveler F,2026-04-10,cancelled,735.32
BK-DEMO051,hotel,HT0047,Demo Traveler G,2026-07-19,confirmed,2355.08
BK-DEMO052,activity,AC0134,Demo Traveler C,2026-04-22,confirmed,55.44
BK-DEMO053,hotel,HT0123,Demo Traveler E,2026-06-22,cancelled,219.76
BK-DEMO054,hotel,HT0040,Sample Guest 4,2026-04-18,confirmed,2962.64
BK-DEMO055,flight,FL0209,Demo Traveler E,2026-05-08,confirmed,2337.34
BK-DEMO056,activity,AC0088,Demo Traveler F,2026-06-24,completed,115.05
BK-DEMO057,hotel,HT0152,Demo Traveler E,2026-06-25,confirmed,1810.26
BK-DEMO058,flight,FL0128,Demo Traveler H,2026-05-31,confirmed,2586.42
BK-DEMO059,hotel,HT0169,Demo Traveler H,2026-05-12,confirmed,182.82
BK-DEMO060,flight,FL0125,Demo Traveler G,2026-07-18,confirmed,738.21
