activity_id,destination,activity_name,category,price,duration,rating
AC0001,Tokyo,Street food tasting tour in Tokyo,food,74.28,3 hours,4.2
AC0002,Tokyo,Museum and gallery pass in Tokyo,culture,33.14,4 hours,4.6
AC0003,Tokyo,Guided city walking tour in Tokyo,sightseeing,58.05,3 hours,4.7
AC0004,Tokyo,Traditional cultural performance in Tokyo,culture,90.08,2 hours,5.0
AC0005,Tokyo,Cooking class with local chef in Tokyo,food,110.77,4 hours,4.2
AC0006,Tokyo,Day trip to nearby town in Tokyo,adventure,183.83,8 hours,4.5
AC0007,Tokyo,Local market and craft workshop in Tokyo,culture,44.94,3 hours,4.9
AC0008,Tokyo,River or harbour cruise in Tokyo,leisure,47.7,2 hours,4.9
AC0009,Kyoto,Street food tasting tour in Kyoto,food,79.92,3 hours,4.4
AC0010,Kyoto,Local market and craft workshop in Kyoto,culture,61.77,3 hours,4.6
AC0011,Kyoto,Guided city walking tour in Kyoto,sightseeing,44.86,3 hours,4.8
AC0012,Kyoto,Sunset viewpoint experience in Kyoto,leisure,14.62,2 hours,4.8
AC0013,Kyoto,River or harbour cruise in Kyoto,leisure,32.29,2 hours,4.0
AC0014,Kyoto,Temple and shrine circuit in Kyoto,culture,34.5,4 hours,4.0
AC0015,Kyoto,Museum and gallery pass in Kyoto,culture,30.64,4 hours,4.9
AC0016,Kyoto,Cycling tour of the old town in Kyoto,adventure,58.34,3 hours,5.0
AC0017,Osaka,Cooking class with local chef in Osaka,food,69.57,4 hours,4.6
AC0018,Osaka,Local market and craft workshop in Osaka,culture,69.45,3 hours,4.6
AC0019,Osaka,Historic landmark entry in Osaka,sightseeing,24.07,2 hours,4.0
AC0020,Osaka,Cycling tour of the old town in Osaka,adventure,72.71,3 hours,4.5
AC0021,Osaka,Sunset viewpoint experience in Osaka,leisure,13.72,2 hours,4.7
AC0022,Osaka,Traditional cultural performance in Osaka,culture,63.64,2 hours,4.2
AC0023,Osaka,Guided city walking tour in Osaka,sightseeing,42.3,3 hours,4.4
AC0024,Osaka,Museum and gallery pass in Osaka,culture,24.43,4 hours,4.8
AC0025,Paris,Cooking class with local chef in Paris,food,69.25,4 hours,4.5
AC0026,Paris,Museum and gallery pass in Paris,culture,20.76,4 hours,3.9
AC0027,Paris,Historic landmark entry in Paris,sightseeing,40.19,2 hours,4.7
AC0028,Paris,Guided city walking tour in Paris,sightseeing,50.19,3 hours,4.6
AC0029,Paris,Cycling tour of the old town in Paris,adventure,56.27,3 hours,4.7
AC0030,Paris,Street food tasting tour in Paris,food,78.11,3 hours,4.4
AC0031,Paris,Temple and shrine circuit in Paris,culture,40.5,4 hours,4.8
AC0032,Paris,Local market and craft workshop in Paris,culture,73.02,3 hours,4.8
AC0033,Nice,Street food tasting tour in Nice,food,42.61,3 hours,4.1
AC0034,Nice,Museum and gallery pass in Nice,culture,37.55,4 hours,4.9
AC0035,Nice,Guided city walking tour in Nice,sightseeing,62.38,3 hours,3.9
AC0036,Nice,Cycling tour of the old town in Nice,adventure,54.82,3 hours,4.9
AC0037,Nice,Local market and craft workshop in Nice,culture,44.83,3 hours,3.9
AC0038,Nice,Historic landmark entry in Nice,sightseeing,28.12,2 hours,4.5
AC0039,Nice,Cooking class with local chef in Nice,food,54.82,4 hours,4.0
AC0040,Nice,Sunset viewpoint experience in Nice,leisure,23.82,2 hours,4.1
AC0041,London,Street food tasting tour in London,food,90.3,3 hours,4.0
AC0042,London,Local market and craft workshop in London,culture,22.2,3 hours,4.5
AC0043,London,Guided city walking tour in London,sightseeing,56.96,3 hours,4.9
AC0044,London,Museum and gallery pass in London,culture,18.15,4 hours,5.0
AC0045,London,Day trip to nearby town in London,adventure,201.0,8 hours,4.8
AC0046,London,Historic landmark entry in London,sightseeing,13.43,2 hours,4.2
AC0047,London,Temple and shrine circuit in London,culture,28.36,4 hours,4.3
AC0048,London,Cooking class with local chef in London,food,68.66,4 hours,4.0
AC0049,Edinburgh,Cooking class with local chef in Edinburgh,food,68.03,4 hours,4.4
AC0050,Edinburgh,Museum and gallery pass in Edinburgh,culture,24.01,4 hours,4.9
AC0051,Edinburgh,Historic landmark entry in Edinburgh,sightseeing,35.98,2 hours,4.8
AC0052,Edinburgh,Street food tasting tour in Edinburgh,food,42.67,3 hours,4.3
AC0053,Edinburgh,Temple and shrine circuit in Edinburgh,culture,15.56,4 hours,4.1
AC0054,Edinburgh,Traditional cultural performance in Edinburgh,culture,41.92,2 hours,4.3
AC0055,Edinburgh,Cycling tour of the old town in Edinburgh,adventure,32.96,3 hours,4.4
AC0056,Edinburgh,Local market and craft workshop in Edinburgh,culture,49.02,3 hours,4.3
AC0057,New York,Cooking class with local chef in New York,food,83.59,4 hours,4.9
AC0058,New York,Traditional cultural performance in New York,culture,104.8,2 hours,4.1
AC0059,New York,Historic landmark entry in New York,sightseeing,11.79,2 hours,4.2
AC0060,New York,Cycling tour of the old town in New York,adventure,59.23,3 hours,4.0
AC0061,New York,Temple and shrine circuit in New York,culture,28.58,4 hours,3.9
AC0062,New York,Museum and gallery pass in New York,culture,48.74,4 hours,4.8
AC0063,New York,Guided city walking tour in New York,sightseeing,38.36,3 hours,4.4
AC0064,New York,Street food tasting tour in New York,food,41.56,3 hours,4.6
AC0065,San Francisco,Cooking class with local chef in San Francisco,food,136.48,4 hours,4.5
AC0066,San Francisco,Traditional cultural performance in San Francisco,culture,54.57,2 hours,3.9
AC0067,San Francisco,Guided city walking tour in San Francisco,sightseeing,18.91,3 hours,4.8
AC0068,San Francisco,Day trip to nearby town in San Francisco,adventure,113.0,8 hours,4.8
AC0069,San Francisco,River or harbour cruise in San Francisco,leisure,57.06,2 hours,4.5
AC0070,San Francisco,Local market and craft workshop in San Francisco,culture,53.43,3 hours,4.3
AC0071,San Francisco,Historic landmark entry in San Francisco,sightseeing,36.42,2 hours,4.8
AC0072,San Francisco,Sunset viewpoint experience in San Francisco,leisure,34.19,2 hours,4.4
AC0073,Rome,Cooking class with local chef in Rome,food,70.92,4 hours,4.9
AC0074,Rome,Museum and gallery pass in Rome,culture,25.98,4 hours,4.4
AC0075,Rome,Guided city walking tour in Rome,sightseeing,32.59,3 hours,4.8
AC0076,Rome,Day trip to nearby town in Rome,adventure,64.26,8 hours,4.8
AC0077,Rome,Cycling tour of the old town in Rome,adventure,53.16,3 hours,4.2
AC0078,Rome,Temple and shrine circuit in Rome,culture,13.41,4 hours,3.9
AC0079,Rome,River or harbour cruise in Rome,leisure,41.91,2 hours,4.8
AC0080,Rome,Historic landmark entry in Rome,sightseeing,32.57,2 hours,4.6
AC0081,Venice,Street food tasting tour in Venice,food,78.9,3 hours,4.9
AC0082,Venice,Temple and shrine circuit in Venice,culture,40.19,4 hours,4.9
AC0083,Venice,Historic landmark entry in Venice,sightseeing,32.9,2 hours,4.5
AC0084,Venice,Museum and gallery pass in Venice,culture,36.55,4 hours,4.6
AC0085,Venice,Day trip to nearby town in Venice,adventure,92.91,8 hours,4.5
AC0086,Venice,River or harbour cruise in Venice,leisure,26.96,2 hours,4.4
AC0087,Venice,Local market and craft workshop in Venice,culture,31.1,3 hours,5.0
AC0088,Venice,Cooking class with local chef in Venice,food,115.05,4 hours,4.2
AC0089,Barcelona,Street food tasting tour in Barcelona,food,53.39,3 hours,4.5
AC0090,Barcelona,Local market and craft workshop in Barcelona,culture,20.98,3 hours,4.3
AC0091,Barcelona,Historic landmark entry in Barcelona,sightseeing,24.74,2 hours,4.7
AC0092,Barcelona,Traditional cultural performance in Barcelona,culture,76.74,2 hours,4.3
AC0093,Barcelona,Cycling tour of the old town in Barcelona,adventure,55.26,3 hours,4.8
AC0094,Barcelona,Temple and shrine circuit in Barcelona,culture,16.6,4 hours,4.4
AC0095,Barcelona,Cooking class with local chef in Barcelona,food,102.91,4 hours,4.4
AC0096,Barcelona,Day trip to nearby town in Barcelona,adventure,130.5,8 hours,4.9
AC0097,Madrid,Cooking class with local chef in Madrid,food,95.36,4 hours,4.4
AC0098,Madrid,Temple and shrine circuit in Madrid,culture,43.52,4 hours,5.0
