hotel_id,hotel_name,destination,rating,price_per_night,available_rooms,category
HT0001,Tokyo Budget Inn,Tokyo,3.5,58.18,9,budget
HT0002,Tokyo Value Stay,Tokyo,3.2,91.16,24,budget
HT0003,Tokyo Backpacker Lodge,Tokyo,3.4,54.04,22,budget
HT0004,Tokyo Boutique House,Tokyo,4.4,127.77,6,mid-range
HT0005,Tokyo Central Hotel,Tokyo,4.1,177.42,9,mid-range
HT0006,Tokyo Plaza Hotel,Tokyo,4.0,174.67,13,mid-range
HT0007,Tokyo Royal Suites,Tokyo,4.6,503.99,1,luxury
HT0008,Tokyo Luxury Collection,Tokyo,4.7,542.03,13,luxury
HT0009,Kyoto Backpacker Lodge,Kyoto,3.6,81.27,16,budget
HT0010,Kyoto Budget Inn,Kyoto,3.0,72.73,9,budget
HT0011,Kyoto Traveler's Rest,Kyoto,3.3,64.22,4,budget
HT0012,Kyoto Boutique House,Kyoto,4.2,143.06,10,mid-range
HT0013,Kyoto Riverside Hotel,Kyoto,4.5,154.79,23,mid-range
HT0014,Kyoto Plaza Hotel,Kyoto,4.1,153.77,8,mid-range
HT0015,Kyoto Luxury Collection,Kyoto,4.8,522.87,23,luxury
HT0016,Kyoto Grand Palace Hotel,Kyoto,4.5,528.88,12,luxury
HT0017,Osaka Backpacker Lodge,Osaka,3.5,84.3,20,budget
HT0018,Osaka City Hostel,Osaka,3.9,92.14,7,budget
HT0019,Osaka Value Stay,Osaka,3.3,81.11,5,budget
HT0020,Osaka Riverside Hotel,Osaka,4.0,119.04,4,mid-range
HT0021,Osaka Garden Hotel,Osaka,4.5,194.47,6,mid-range
HT0022,Osaka Central Hotel,Osaka,3.8,118.96,25,mid-range
HT0023,Osaka Royal Suites,Osaka,4.6,578.88,21,luxury
HT0024,Osaka Luxury Collection,Osaka,4.6,513.34,8,luxury
HT0025,Paris Backpacker Lodge,Paris,3.4,50.45,22,budget
HT0026,Paris Budget Inn,Paris,3.9,72.23,14,budget
HT0027,Paris Value Stay,Paris,3.8,69.8,13,budget
HT0028,Paris Boutique House,Paris,4.1,142.95,10,mid-range
HT0029,Paris Riverside Hotel,Paris,4.4,109.17,19,mid-range
HT0030,Paris Central Hotel,Paris,4.4,178.07,21,mid-range
HT0031,Paris Royal Suites,Paris,4.7,448.86,1,luxury
HT0032,Paris Skyline Resort,Paris,4.5,603.15,4,luxury
HT0033,Nice Value Stay,Nice,3.1,67.8,18,budget
HT0034,Nice Backpacker Lodge,Nice,4.1,40.07,23,budget
HT0035,Nice Budget Inn,Nice,3.0,66.02,15,budget
HT0036,Nice Plaza Hotel,Nice,4.0,130.98,21,mid-range
HT0037,Nice Central Hotel,Nice,4.0,205.31,8,mid-range
HT0038,Nice Garden Hotel,Nice,4.4,209.99,21,mid-range
HT0039,Nice Royal Suites,Nice,4.4,399.13,4,luxury
HT0040,Nice Grand Palace Hotel,Nice,4.9,370.33,9,luxury
HT0041,London Value Stay,London,3.1,66.03,10,budget
HT0042,London Backpacker Lodge,London,3.6,76.53,9,budget
HT0043,London City Hostel,London,3.1,40.82,10,budget
HT0044,London Boutique House,London,4.5,110.25,2,mid-range
HT0045,London Riverside Hotel,London,4.4,159.68,5,mid-range
HT0046,London Central Hotel,London,4.2,184.61,24,mid-range
HT0047,London Skyline Resort,London,4.4,336.44,9,luxury
HT0048,London Grand Palace Hotel,London,4.6,646.34,23,luxury
HT0049,Edinburgh Backpacker Lodge,Edinburgh,3.2,58.79,17,budget
HT0050,Edinburgh Budget Inn,Edinburgh,3.2,69.83,13,budget
HT0051,Edinburgh Traveler's Rest,Edinburgh,3.8,77.51,24,budget
HT0052,Edinburgh Boutique House,Edinburgh,4.5,141.6,20,mid-range
HT0053,Edinburgh Plaza Hotel,Edinburgh,4.4,217.84,3,mid-range
HT0054,Edinburgh Garden Hotel,Edinburgh,4.5,206.28,8,mid-range
HT0055,Edinburgh Heritage Grand,Edinburgh,4.7,576.88,12,luxury
HT0056,Edinburgh Royal Suites,Edinburgh,4.6,457.52,13,luxury
HT0057,New York City Hostel,New York,3.9,104.79,16,budget
HT0058,New York Traveler's Rest,New York,3.2,46.75,5,budget
HT0059,New York Budget Inn,New York,3.3,61.1,12,budget
HT0060,New York Central Hotel,New York,4.5,106.76,17,mid-range
HT0061,New York Plaza Hotel,New York,4.3,132.41,15,mid-range
HT0062,New York Riverside Hotel,New York,4.2,176.72,8,mid-range
